Unnamed: 0,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genres
58300,maria callas,""" la traviata "" : amami alfredo (act ii) - digitally remastered",0wtpkz93wATDkUExJVuXEl,31,0.993,0.364,131933,0.275,0.0284,F,0.293,-11.832,Major,0.043,86.096,4,0.0394,"['opera', 'classical']"
32571,yuki hayashi,"""1点""",7JkDONXIbcKUQ7QzlLBumL,23,0.025,0.25,158000,0.762,0.516,C#,0.094,-12.794,Minor,0.0468,89.093,3,0.0835,"['anime', 'soundtrack']"
89661,rae sremmurd,"""42"" - from sr3mm",5lf91lPnGKtIqsgmG1z8Ip,53,0.00275,0.968,238020,0.563,0.0,C#,0.108,-6.744,Major,0.125,130.039,4,0.324,[]
142359,the gaslight anthem,"""45""",25Sd73fleKUVPNqITPZkn1,48,0.000696,0.315,202493,0.97,0.0,G#,0.277,-4.709,Major,0.102,178.068,4,0.423,[]
77209,barns courtney,"""99""",6YQUuoMnRIMaOmouYoMfQr,69,0.00598,0.552,199413,0.804,0.0,G#,0.111,-4.299,Major,0.0303,95.98,4,0.714,[]
199606,howard shore,"""a far green country""",1U5wqqEATmbCpSqADvSqy9,41,0.314,0.218,87920,0.0832,0.962,C,0.208,-23.025,Major,0.0366,72.023,4,0.0795,['soundtrack']
57835,gaetano donizetti,"""ah mes amis - pour mon âme""",5ak8qOzus2Yh056whhY5K3,27,0.964,0.406,419600,0.324,0.00921,F,0.313,-13.377,Major,0.0497,98.508,3,0.402,['opera']
198266,alan silvestri,"""all that is or ever was or ever will be""",1Ig5PYAhZaCiCVAdIEcdAC,49,0.981,0.292,95720,0.139,0.00538,F,0.32,-16.134,Major,0.0354,73.37,4,0.0338,['soundtrack']
59210,giuseppe verdi,"""alta cagion v'aduna""",1GlndnNMcfRwdy1V6R316S,20,0.955,0.365,359978,0.341,0.00563,B,0.448,-10.898,Minor,0.0542,98.491,4,0.22,"['opera', 'classical']"
32168,my first story,"""boom""",0CkARTGv97YSA0TuWRpHGd,29,5.45e-05,0.34,256000,0.978,0.0,A,0.199,-3.785,Major,0.209,199.918,4,0.192,"['j-rock', 'j-pop', 'anime']"
