track_id,track_name,genres,artist_name,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2pPhbWZBm3Q6b35jV691qG,all u writers,[],!!!,40,322623,0.00412,0.874,0.814,0.464,B,0.069,-6.873,Minor,0.045,121.976,4,0.741
59zncIhxSaZdqnOaU0z2cM,billy boy,[],$not,50,136499,0.526,0.659,0.62,3.84e-05,G,0.111,-8.617,Minor,0.358,81.929,4,0.627
7iYUg5QiKyDb9sSsruktOc,inxanity,[],$teven cannon,59,144431,0.0216,0.733,0.592,0.000264,F#,0.115,-7.71,Minor,0.0556,159.979,4,0.469
5ZGUzD2WAYXx1P8O7FVQph,mando (feat. mozzy),[],$tupid young,58,170806,0.0252,0.786,0.663,4.15e-06,E,0.15,-9.342,Minor,0.183,96.47,4,0.566
7gr57cYekMWriyJYbT7oZ4,hann (alone),[],(g)i-dle,72,205820,0.059,0.709,0.718,0.0,F#,0.167,-3.315,Minor,0.0312,104.971,4,0.24
18N9hZG0MZryxpB4H36IyP,bobby,[],(sandy) alex g,50,222818,0.0293,0.246,0.379,0.0,G,0.0945,-5.928,Major,0.0323,92.171,4,0.384
4mljNnZ2eaXKSbEAOzLlLE,(god must have spent) a little more time on you,[],*nsync,46,282960,0.441,0.6,0.544,0.0,A#,0.255,-8.863,Major,0.0358,83.992,4,0.32
0hihLCB6tescIIqSjujfa1,beat that thang down (feat. pnb rock),[],03 greedo,50,231654,0.489,0.693,0.546,0.0,B,0.135,-10.93,Minor,0.178,97.003,4,0.493
4uexcsJVOIsqiEZgshqKUy,accusations,[],070 shake,58,279707,0.453,0.901,0.283,0.000111,F#,0.0858,-10.156,Minor,0.0769,118.963,4,0.333
2wOXxtHZgRkkrkEbKLzzqs,1.5,[],21 savage,77,148656,0.000244,0.885,0.52,1.16e-06,C#,0.454,-8.353,Major,0.359,84.022,4,0.306
0HcFJAK9a3jB98eOgs7DvE,couldn't say sorry (feat. blackbear),[],24hrs,44,210935,0.24,0.698,0.587,0.0,C#,0.387,-7.296,Major,0.151,110.228,4,0.652
0dUAYy4qJ8QNJZWk4aVBTR,surround me with your love - mental overdrive remix,[],3-11 porter,40,349613,0.000278,0.766,0.857,0.661,G,0.604,-7.154,Major,0.0921,103.99,4,0.591
5OvIRKQ9bhIjuVdvcpUfyv,mientras dormías,[],330am,35,221933,0.49,0.474,0.788,7.74e-06,A,0.0671,-6.082,Major,0.0475,185.894,4,0.529
1iGKClaJTLBmHzVGsYY9KR,beyond the heliosphere,[],36,33,383176,0.908,0.0798,0.189,0.98,D#,0.0746,-20.318,Minor,0.0358,79.586,4,0.0397
5zn1hpm9N0ylKB7kOtpCw2,no more (baby i'ma do right),[],3lw,61,263440,0.102,0.721,0.723,4.4e-06,D,0.0651,-7.08,Minor,0.0631,88.933,4,0.761
2lDKzmnLQo0bz9X8ClB5W1,claustrophobia,[],3oh!3,53,206025,0.245,0.642,0.67,0.0,A#,0.34,-6.646,Minor,0.0477,129.97,4,0.485
0jWgAnTrNZmOGmqgvHhZEm,what's up?,[],4 non blondes,80,295493,0.16,0.561,0.555,0.0,B,0.114,-9.734,Minor,0.0287,134.369,4,0.497
6I5XwFdMO9z7NaNF475Xpd,carnival (feat. bunji garlin),[],4b,31,199385,0.0184,0.76,0.959,0.000881,G,0.118,-3.423,Major,0.0728,129.974,4,0.617
0jBACL5XaVtq7XoNxzzQu6,can i love again (feat. park jung eun),[],4men,35,281600,0.206,0.402,0.528,0.0,G#,0.114,-5.622,Major,0.0499,133.553,4,0.0756
1JCCdiru7fhstOIF4N7WJC,amnesia,[],5 seconds of summer,68,237248,0.0283,0.572,0.499,0.0,D,0.213,-5.237,Major,0.0311,101.593,4,0.108
3SN4bOv4TQqgLeR1sMqtoh,солдат,[],5'nizza,41,190013,0.664,0.767,0.181,0.0,F,0.1,-10.924,Minor,0.137,134.721,4,0.678
4l80KuUUICduXLJqwhCfB2,maybe i might,[],641,60,174688,0.254,0.523,0.833,3.37e-06,G#,0.178,-5.979,Minor,0.0413,148.091,4,0.642
1kIExRNncDWe7eIUktX3bL,93,[],6ix9ine,62,136220,0.0327,0.798,0.904,0.0,G,0.0791,-2.54,Major,0.186,130.003,4,0.622
4r8BzCnB6mDdPcJuSmSovv,alone / ea6,[],6lack,56,553853,0.709,0.448,0.66,0.000465,A,0.351,-7.642,Major,0.276,124.767,5,0.119
2J53YvEFVNHBL3evYgK9gb,douai charleston,[],6u5,41,235733,0.102,0.772,0.81,0.93,E,0.178,-10.329,Minor,0.108,121.8,4,0.702
5TwNTEEuykkepftQfnIZF0,swaying,[],7am,47,226200,0.601,0.491,0.456,1.76e-06,E,0.114,-7.733,Minor,0.0522,74.401,5,0.119
0p5Bv16XNo5B7AdeKD0H0F,i do (cherish you),[],98º,58,226733,0.646,0.574,0.441,0.0,G#,0.144,-9.425,Major,0.0372,81.023,4,0.292
1l9Q5NyhsyodDzIrdtJ6Ub,ashes and wine,[],a fine frenzy,39,260493,0.128,0.528,0.494,9.81e-06,G#,0.379,-8.262,Major,0.0329,140.153,4,0.201
1qHiDbTJI7GB62W3BBFigx,hold each other,[],a great big world,54,216040,0.0365,0.61,0.796,0.0,A#,0.274,-5.431,Major,0.0656,159.944,4,0.51
76viqO3tGyWHYbJgmV2gfN,ain't gonna leave,[],a r i z o n a,58,207400,0.0628,0.658,0.658,0.0,D,0.0497,-4.866,Major,0.0443,152.078,4,0.582
4nxbJeHGuesxPG6rwU8Xla,party in l.a.,[],a$ad,43,237692,0.0657,0.66,0.279,2.7e-05,G,0.113,-12.949,Major,0.0431,129.985,4,0.0789
4Nbi6hJWVqM7Ois9G2KKjC,bachelor,[],a$ap mob,55,176040,0.0554,0.785,0.607,0.0,C#,0.179,-5.103,Major,0.0953,128.077,4,0.168
7z7cVLaaSflYWIlkgPrUGA,a glorious death,[],a$ap twelvyy,54,225200,0.083,0.694,0.595,4.52e-06,A#,0.0628,-5.926,Minor,0.298,119.859,4,0.138
6zLXWVAskybBaM2L5rCxiG,"can't help falling in love - from ""lilo & stitch""/soundtrack version",[],a*teens,45,187507,0.0105,0.647,0.814,0.00361,B,0.366,-9.377,Major,0.0429,117.979,4,0.784
5QeUZ1Z4xSCegBXutW3IIt,000000,[],a.chal,69,165214,0.494,0.734,0.472,0.00293,C#,0.102,-8.192,Minor,0.306,190.011,4,0.387
6yGqdTiZWLGMJqJ8al7mHs,acurrucame la vida,[],a.cinco,29,284453,0.379,0.532,0.42,0.0,D,0.296,-12.43,Major,0.04,77.574,4,0.313
39amU2P3P8ZP2H97o6u2z6,777 ~we can sing a song!~,[],aaa,35,298293,0.145,0.651,0.926,0.0,A,0.15,-3.213,Major,0.0691,130.04,4,0.712
7L9IGgZekAzMtRSnx25jSj,is it anything?,[],aaron taos,46,215385,0.32,0.579,0.688,4.05e-06,E,0.224,-9.209,Major,0.0682,156.052,4,0.572
7ablHLrNyWtc6h4kNqDTwF,allie returns,[],aaron zigman,29,305000,0.952,0.131,0.0593,0.91,B,0.117,-21.676,Minor,0.0418,67.27,4,0.0371
1msfqzqHggvi1mlCT4Z7O5,diamond child,[],aayushi,41,237008,0.513,0.416,0.394,0.00155,B,0.0988,-9.269,Major,0.0641,81.988,4,0.131
4KXwFI9pgJLpUIAc9oSL8j,bloody waters (with anderson .paak & james blake),[],ab-soul,69,272307,0.185,0.507,0.606,0.0,G#,0.174,-8.758,Major,0.452,180.607,4,0.202
6HvUtPLqkP0t6zd6YNdWby,the look of love - pt. 1,[],abc,60,209160,0.11,0.731,0.91,0.000447,A,0.313,-4.559,Minor,0.0918,120.991,4,0.886
69psAYgxiFaUGTthc25jLd,a solitary woman,[],abel korzeniowski,37,154533,0.993,0.44,0.0915,0.96,A,0.134,-26.455,Minor,0.0389,136.33,4,0.109
0ulhDy3meYYFduCPImEiG1,about girls,[],abhi the nomad,45,212500,0.229,0.839,0.314,0.0,A,0.0941,-12.383,Minor,0.417,73.969,4,0.383
4VKokjMi4vV7n6zOx9dj8J,amanké dionti,[],ablaye cissoko,29,391213,0.979,0.491,0.0807,0.297,C,0.0965,-17.128,Major,0.0413,82.016,4,0.437
5SO3Ev6ClykOFzLrmfPiBc,i'm so depressed,[],abner jay,28,235947,0.489,0.476,0.504,0.000166,G,0.218,-9.017,Major,0.201,86.542,4,0.61
4SExof7SNMmYgTmgE8TBrE,fruit,[],abra,56,341000,0.00584,0.724,0.528,0.0415,G,0.106,-12.726,Minor,0.0354,120.008,4,0.607
4N1c5rmWOzRmB9SMacr5wB,loco enamorado,[],abraham mateo,70,252200,0.226,0.69,0.872,0.0,B,0.0858,-2.984,Minor,0.0588,94.0,4,0.731
7pBrj5rt4SSxXwFKOyZfHR,dissolve,[],absofacto,70,224661,0.23,0.688,0.582,0.000157,F#,0.0663,-10.668,Minor,0.0542,85.486,4,0.872
3V4pCSmzK7O6z3IKWHlEgJ,22 (feat. delaney),[],abstract,56,375332,0.54,0.725,0.453,0.0,A,0.128,-9.206,Major,0.0702,109.987,4,0.0548
2aDsxXzs55S9I7THzNoHdD,body 2 body,[],ace hood,46,235307,0.00252,0.603,0.82,0.0,C#,0.178,-4.587,Minor,0.0566,152.057,4,0.561
2J9FvI7UP7JVUwf4s7h8A3,mattsvart,[],achee flips,60,196526,0.453,0.772,0.573,0.0,F#,0.135,-7.687,Major,0.0933,115.555,4,0.337
