artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
shakey graves,"""dearly departed"" - live from spotify sxsw 2014 (feat. esme patterson)",6lilJagMSnCKnOsOdNw1mv,45,0.293,0.561,252798,0.491,1.09e-06,G,0.685,-8.812,Major,0.121,81.138,4,0.578
plácido domingo,"""mi batte il cor...o paradiso"" - live",2jHfIB3riArief6hXOs1b8,26,0.98,0.189,192013,0.437,0.161,F#,0.705,-13.207,Major,0.0757,83.045,4,0.19
josé carreras,"""nessun dorma"" - live",375vJOYx5CuSBDXLnT9r1v,28,0.96,0.184,210160,0.549,0.00974,D,0.696,-10.394,Major,0.0669,78.888,3,0.253
shakey graves,"""unlucky skin"" - live from spotify nyc",4X7FaTervP5JZIVttwal6U,43,0.379,0.454,314433,0.521,0.00478,F#,0.666,-10.18,Major,0.0327,107.265,4,0.373
gary gulman,$15 from happiness - live,19yy3fOSX8VlkVnHXWNbSw,22,0.847,0.543,159247,0.611,1.92e-06,A,0.697,-15.027,Major,0.953,136.444,4,0.342
josé carreras,'o sole mio - live,3LA17Ys6uneUtcmCFVgxLU,26,0.955,0.149,173507,0.531,0.00492,G#,0.7,-10.779,Major,0.174,71.878,5,0.345
miles davis,"'round midnight - live from olympia theatre, paris",5clG2GtMgZo0FkbrTEZq9W,32,0.884,0.486,336893,0.29,0.0221,A#,0.101,-13.88,Minor,0.0554,129.178,4,0.295
hillsong united,'til i see you - live,7lq4SU5eAmKzj5tnGcnX4Z,27,0.194,0.267,365253,0.822,0.0,C#,0.152,-4.936,Minor,0.0485,147.126,4,0.0878
the blues brothers,(i got everything i need) almost - live version,7fg2dDt8HYJgEIJF3LEjep,29,0.0696,0.614,158973,0.875,0.0114,F#,0.787,-7.111,Minor,0.0652,130.728,4,0.802
hillsong united,** (a reprise) - live,1wKbemG5DPIVxtTQ1pmlOD,27,0.0188,0.341,172440,0.448,0.0868,C,0.0987,-10.111,Major,0.028,79.202,4,0.0401
hillsong united,*****selah - live,7erK9slfXzc07aR3q7ZdJ9,21,0.0742,0.251,219653,0.424,0.945,D,0.121,-10.088,Major,0.0294,75.305,4,0.0353
robin williams,...and the future - live,6aiiiE51wPUubn6GMMi7D2,28,0.948,0.526,196880,0.711,0.0,A#,0.733,-12.812,Major,0.954,51.678,5,0.198
sergei rachmaninoff,"10 préludes, op. 23: no. 10 in g-flat major - live",6JPzlzHHdqIdmu28qBHdGF,44,0.995,0.302,204987,0.00448,0.84,F#,0.045,-31.704,Major,0.0463,71.056,4,0.0452
matt redman,"10,000 reasons (bless the lord) - live",0fxpHpK3aw2nFWII6yveDD,68,0.514,0.458,342493,0.486,0.0,G,0.574,-8.147,Major,0.0258,72.484,4,0.363
jesus culture,"10,000 reasons - live",3vRr7C3IVnX00bcmdI6NGB,33,0.765,0.454,447973,0.27,0.0,C,0.747,-9.396,Major,0.0268,70.091,4,0.119
vertical worship,1000 tongues - live,6DD1dA8s2o6o5zXzZ95mpM,39,0.00636,0.468,238533,0.823,0.00175,G,0.562,-6.206,Major,0.0455,155.973,4,0.476
gateway worship,139 - live,4ylddAGfLQQzsKRXTw5MFt,22,0.914,0.236,230627,0.365,0.000904,C#,0.675,-10.587,Major,0.0382,190.364,4,0.0751
emil gilels,"14 romances, op. 34: no. 14 vocalise - live",431cqwfVULFP5M5sLapwOk,36,0.994,0.403,349294,0.0414,0.894,C#,0.191,-22.047,Minor,0.035,100.858,3,0.0981
dan + shay,19 you + me - live acoustic bonus track,07zz0TZzJechGIT70aY0WZ,47,0.571,0.416,221707,0.422,0.0,F#,0.161,-8.11,Major,0.0279,150.607,3,0.703
caramelos de cianuro,2 caras 2 corazones - live from paris,3wFWcaznYEEB2TbAVG13me,24,0.0606,0.458,217708,0.861,0.000254,D,0.596,-9.235,Major,0.0987,174.921,4,0.269
wolfgang amadeus mozart,2. adagio - live,0BFFuWyGLx6ZSUOsg5FTku,26,0.993,0.432,592227,0.0054,0.841,F,0.095,-32.778,Minor,0.0428,80.452,3,0.172
johannes brahms,2. allegro appassionato - live,4sdxFQFw4PmNYRvjg1t5Zm,27,0.982,0.299,585747,0.0822,0.895,D,0.158,-22.218,Minor,0.0336,75.396,4,0.0884
johnny cash,"25 minutes to go - live at folsom state prison, folsom, ca (1st show) - january 1968",6uwERhh3sBcQ9eLcfIBmFV,47,0.478,0.669,176773,0.501,1.64e-06,D#,0.751,-12.511,Major,0.204,120.783,4,0.854
amy schumer,36 drinks a week (live),2asOk1cHYgH3AxwkcGR4V9,27,0.877,0.573,332108,0.371,0.0,F,0.754,-23.223,Major,0.944,89.779,4,0.266
aaron watson,3rd gear & 17 - live,1sqaZM5uuvCtCyYIj1BvBK,37,0.107,0.579,225120,0.698,0.0,G,0.745,-9.885,Major,0.0369,147.879,4,0.505
franz schubert,"4 impromptus, op.90, d.899: no.3 in g flat major (andante) - live",01Q0J1mCSwUreVyWlTM4vV,41,0.977,0.237,324600,0.0307,0.884,F#,0.0879,-28.246,Major,0.0337,77.063,4,0.0718
sublime,40 oz. to freedom - live at the palace/1995,7Agj6pxh34TkjOvjA8foXG,32,0.0298,0.368,162133,0.859,3.15e-05,D,0.728,-4.955,Major,0.144,95.115,4,0.642
traffic,"40,000 headmen - live",2RbJc1nH5N83pjZNnDMDZB,28,0.787,0.462,270053,0.339,4.76e-05,B,0.775,-13.701,Minor,0.0556,88.827,4,0.591
lcd soundsystem,45:33 intro - live at madison square garden,5hfVnQF1rVDdkYAnxnv8vY,30,0.623,0.313,109520,0.337,0.929,E,0.472,-18.992,Minor,0.038,51.761,4,0.313
dr. lonnie smith,50 ways to leave your lover - live,2lwVojk2rK92KWGsYoezFK,47,0.624,0.583,567721,0.496,0.898,E,0.699,-11.843,Minor,0.0407,109.53,4,0.861
sublime,54-46 was my number - live at the palace/1995,6QHTeHHuTXpSK0F0YluN9T,44,0.0188,0.6,141480,0.896,2.97e-06,D,0.138,-5.357,Major,0.175,95.18,4,0.534
phish,555 - live,7up1elOvZ5AcFCeGJAsCCl,23,0.0858,0.285,376427,0.953,0.239,A#,0.451,-6.863,Minor,0.0482,169.551,4,0.489
frédéric chopin,7. in a major - live,53fTfbdikjHKfLU486Evp6,27,0.996,0.562,41053,0.00313,0.873,A,0.0575,-35.745,Major,0.115,71.695,3,0.216
destiny's child,8 days of christmas - live,7o4HtESXicUqk3oRqngIsS,47,0.0493,0.685,209360,0.8,0.0,A,0.0799,-1.866,Minor,0.202,99.679,4,0.587
johnny cash,"a boy named sue - live at san quentin state prison, san quentin, ca - february 1969",4VkgY55sUbfszX3XjS3LxW,58,0.758,0.685,225040,0.486,0.0,A#,0.716,-11.898,Major,0.323,101.539,4,0.892
chris tomlin,a christmas alleluia - live,55vH0EDZI8IIUHN3Z6ZjzQ,29,0.0588,0.134,272013,0.196,0.0,C#,0.0844,-10.343,Major,0.0356,143.748,4,0.096
jason upton,a hammer and an awkward nail (live),6ylzjsAWRJtRftaCLGtS0e,39,0.105,0.281,456647,0.423,0.00619,G,0.078,-10.038,Major,0.035,113.736,4,0.068
simon & garfunkel,"a heart in new york - live at central park, new york, ny - september 19, 1981",6IyU2LIPfopCfbWewM2UdO,48,0.726,0.417,181227,0.31,0.000639,F#,0.424,-20.15,Major,0.0469,93.463,4,0.348
sean feucht,a journey (live),1AOOwqjcgO7fRke6NtOGlr,24,0.349,0.508,959000,0.552,0.903,B,0.0884,-10.174,Minor,0.0373,82.014,3,0.123
bethel music,a little longer (live),1EaiPpgFliszmuGasWVXXO,46,0.104,0.449,461200,0.518,0.0544,D,0.159,-8.279,Major,0.028,118.13,4,0.261
hannibal buress,a love letter to new orleans - live,7gsRz9Ru7gYUJrLUzviZDf,44,0.914,0.7,397411,0.821,0.0,F,0.768,-5.086,Major,0.94,134.803,3,0.311
passion,a mighty fortress - live,6fRZ91unBwJVvWo0BNCCB1,43,0.0452,0.23,371920,0.421,2.15e-06,C#,0.139,-10.028,Major,0.0344,145.661,4,0.136
meredith andrews,a million saints (live),4qD61pEn6BtS9Bo86jlUYt,51,0.142,0.397,208865,0.845,0.0,E,0.11,-5.823,Major,0.0359,154.972,4,0.637
hillsong united,a million suns - live/acoustic version,03NGyyUgkmNyYiuycwgQXi,33,0.237,0.25,429387,0.343,9.82e-06,C,0.105,-13.43,Major,0.0341,81.995,4,0.0972
bill engvall,a snake in the toilet - live,5kXFqpwKFm4vnb7PS0j2zj,22,0.716,0.632,393200,0.69,0.0,F#,0.487,-14.001,Minor,0.952,79.498,3,0.456
hillsong united,a song to sing... - live,3mcmzte3lu8MO6714q9wb5,27,8.73e-05,0.317,168227,0.971,0.00011,E,0.518,-4.696,Major,0.106,137.041,4,0.178
j. cole,a tale of 2 citiez - live,5EPp5oygWvFf08qCFBAZcV,51,0.179,0.664,284960,0.662,0.0,A#,0.754,-8.206,Minor,0.367,98.268,4,0.185
paul desmond,a taste of honey - live,6PdC87pNlAOBZFRVhk2c3Q,54,0.918,0.492,271000,0.151,0.00352,F,0.11,-18.015,Minor,0.0421,124.919,3,0.214
vanessa carlton,a thousand miles - live acoustic,1YuUPfLPOyvB1QYDKam0tc,54,0.883,0.377,278347,0.24,1.33e-05,B,0.11,-7.619,Major,0.03,85.53,4,0.348
